time,loss,rtt,current_bitrate,target_bitrate,fec_enabled,overhead,reason
0,0.0000,100,1000000.0000,1200000.0000,false,0.0000,
1,0.0015,100,1000000.0000,1200000.0000,false,0.0000,
2,0.0030,100,1000000.0000,1200000.0000,false,0.0000,
3,0.0045,100,1000000.0000,1200000.0000,false,0.0000,
4,0.0060,100,1000000.0000,1200000.0000,false,0.0000,
5,0.0075,100,1000000.0000,1200000.0000,false,0.0000,
6,0.0090,100,1000000.0000,1200000.0000,false,0.0000,
7,0.0105,100,1000000.0000,1200000.0000,false,0.0000,
8,0.0120,100,1000000.0000,1200000.0000,false,0.0000,
9,0.0135,100,1000000.0000,1200000.0000,false,0.0000,
10,0.0150,100,1000000.0000,1200000.0000,false,0.0000,
11,0.0165,100,1000000.0000,1200000.0000,false,0.0000,
12,0.0180,100,1000000.0000,1200000.0000,false,0.0000,
13,0.0195,100,1000000.0000,1200000.0000,false,0.0000,
14,0.0210,100,1000000.0000,1200000.0000,false,0.0000,
15,0.0225,100,1000000.0000,1200000.0000,false,0.0000,
16,0.0240,100,1000000.0000,1200000.0000,false,0.0000,
17,0.0255,100,1000000.0000,1200000.0000,false,0.0000,
18,0.0270,100,1000000.0000,1200000.0000,false,0.0000,
19,0.0285,100,1000000.0000,1200000.0000,false,0.0000,
20,0.0300,100,1000000.0000,1200000.0000,true,0.0656,FEC enabled: network protection required | adjusted protection factor
21,0.0315,100,1000000.0000,1200000.0000,true,0.0656,
22,0.0330,100,1000000.0000,1200000.0000,true,0.0656,
23,0.0345,100,1000000.0000,1200000.0000,true,0.0656,
24,0.0360,100,1000000.0000,1200000.0000,true,0.0656,
25,0.0375,100,1000000.0000,1200000.0000,true,0.0656,
26,0.0390,100,1000000.0000,1200000.0000,true,0.0656,
27,0.0405,100,1000000.0000,1200000.0000,true,0.0656,
28,0.0420,100,1000000.0000,1200000.0000,true,0.0656,
29,0.0435,100,1000000.0000,1200000.0000,true,0.0656,
30,0.0450,100,1000000.0000,1200000.0000,true,0.0872,adjusted protection factor
31,0.0465,100,1000000.0000,1200000.0000,true,0.0872,
32,0.0480,100,1000000.0000,1200000.0000,true,0.0872,
33,0.0495,100,1000000.0000,1200000.0000,true,0.0872,
34,0.0510,100,1000000.0000,1200000.0000,true,0.0872,
35,0.0525,100,1000000.0000,1200000.0000,true,0.0872,
36,0.0540,100,1000000.0000,1200000.0000,true,0.0872,
37,0.0555,100,1000000.0000,1200000.0000,true,0.0872,
38,0.0570,100,1000000.0000,1200000.0000,true,0.0872,
39,0.0585,100,1000000.0000,1200000.0000,true,0.0872,
40,0.0600,100,1000000.0000,1200000.0000,true,0.1089,adjusted protection factor
41,0.0615,100,1000000.0000,1200000.0000,true,0.1089,
42,0.0630,100,1000000.0000,1200000.0000,true,0.1089,
43,0.0645,100,1000000.0000,1200000.0000,true,0.1089,
44,0.0660,100,1000000.0000,1200000.0000,true,0.1089,
45,0.0675,100,1000000.0000,1200000.0000,true,0.1089,
46,0.0690,100,1000000.0000,1200000.0000,true,0.1089,
47,0.0705,100,1000000.0000,1200000.0000,true,0.1089,
48,0.0720,100,1000000.0000,1200000.0000,true,0.1089,
49,0.0735,100,1000000.0000,1200000.0000,true,0.1089,
50,0.0750,100,1000000.0000,1200000.0000,true,0.1306,adjusted protection factor
51,0.0765,100,1000000.0000,1200000.0000,true,0.1306,
52,0.0780,100,1000000.0000,1200000.0000,true,0.1306,
53,0.0795,100,1000000.0000,1200000.0000,true,0.1306,
54,0.0810,100,1000000.0000,1200000.0000,true,0.1306,
55,0.0825,100,1000000.0000,1200000.0000,true,0.1306,
56,0.0840,100,1000000.0000,1200000.0000,true,0.1306,
57,0.0855,100,1000000.0000,1200000.0000,true,0.1306,
58,0.0870,100,1000000.0000,1200000.0000,true,0.1306,
59,0.0885,100,1000000.0000,1200000.0000,true,0.1306,
60,0.0900,100,1000000.0000,1200000.0000,true,0.1522,adjusted protection factor
61,0.0915,100,1000000.0000,1200000.0000,true,0.1522,
62,0.0930,100,1000000.0000,1200000.0000,true,0.1522,
63,0.0945,100,1000000.0000,1200000.0000,true,0.1522,
64,0.0960,100,1000000.0000,1200000.0000,true,0.1522,
65,0.0975,100,1000000.0000,1200000.0000,true,0.1522,
66,0.0990,100,1000000.0000,1200000.0000,true,0.1522,
67,0.1005,100,1000000.0000,1200000.0000,true,0.1522,
68,0.1020,100,1000000.0000,1200000.0000,true,0.1522,
69,0.1035,100,1000000.0000,1200000.0000,true,0.1522,
70,0.1050,100,1000000.0000,1200000.0000,true,0.1728,adjusted protection factor
71,0.1065,100,1000000.0000,1200000.0000,true,0.1728,
72,0.1080,100,1000000.0000,1200000.0000,true,0.1728,
73,0.1095,100,1000000.0000,1200000.0000,true,0.1728,
74,0.1110,100,1000000.0000,1200000.0000,true,0.1728,
75,0.1125,100,1000000.0000,1200000.0000,true,0.1728,
76,0.1140,100,1000000.0000,1200000.0000,true,0.1728,
77,0.1155,100,1000000.0000,1200000.0000,true,0.1728,
78,0.1170,100,1000000.0000,1200000.0000,true,0.1728,
79,0.1185,100,1000000.0000,1200000.0000,true,0.1728,
80,0.1200,100,1000000.0000,1200000.0000,true,0.1728,
81,0.1215,100,1000000.0000,1200000.0000,true,0.1929,adjusted protection factor
82,0.1230,100,1000000.0000,1200000.0000,true,0.1929,
83,0.1245,100,1000000.0000,1200000.0000,true,0.1929,
84,0.1260,100,1000000.0000,1200000.0000,true,0.1929,
85,0.1275,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
86,0.1290,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
87,0.1305,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
88,0.1320,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
89,0.1335,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
90,0.1350,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
91,0.1365,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
92,0.1380,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
93,0.1395,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
94,0.1410,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
95,0.1425,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
96,0.1440,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
97,0.1455,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
98,0.1470,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
99,0.1485,100,1000000.0000,1200000.0000,true,0.1929,BWE cap: reduced FEC to fit bandwidth
